Age	Height	Weight	Sex	Athlete
23	170	60	1	1
33	193	125	1	1
30	187	76	1	1
26	178	85	2	1
27	182	80	1	1
30	182	73	2	1
23	187	75	1	1
27	190	80	1	1
28	173	60	2	1
28	171	64	2	1
22	171	62	1	1
22	175	63	1	1
25	162	69	1	1
25	175	85	1	1
26	171	60	2	1
34	177	66	1	1
35	180	61	1	1
26	165	55	2	1
21	170	47	2	1
34	173	84	1	1
22	170	66	1	1
27	179	82	1	1
20	160	62	2	1
27	177	78	1	1
24	173	53	2	1
27	168	60	2	1
25	159	54	2	1
20	162	75	2	1
17	170	53	2	1
23	166	68	2	1
31	180	64	1	1
23	152	58	2	1
21	188	82	1	1
18	153	55	1	1
33	182	77	1	1
25	184	78	1	1
22	172	70	1	1
34	158	47	2	1
22	162	50	2	1
31	180	68	1	1
21	168	62	1	1
28	168	62	1	1
28	172	72	1	1
31	175	58	2	1
29	208	110	1	1
31	172	80	1	1
24	167	52	2	1
19	192	83	2	1
17	175	60	2	1
27	184	84	1	1
27	171	72	2	1
31	166	63	2	1
37	188	66	2	1
22	192	89	1	1
29	162	51	2	1
27	178	79	1	1
30	171	73	1	1
23	180	79	1	1
20	173	65	2	1
35	189	70	1	1
23	194	87	1	1
27	193	120	2	1
29	189	90	1	1
24	183	75	1	1
23	183	80	1	1
27	188	88	1	1
18	168	58	1	1
27	162	65	2	1
25	153	52	2	1
23	179	70	2	1
23	201	102	1	1
19	190	84	1	1
28	182	64	2	1
21	186	74	1	1
28	188	88	1	1
35	194	103	1	1
28	175	75	1	1
16	160	50	2	1
31	188	96	1	1
33	171	61	2	1
20	202	90	1	1
21	178	76	2	1
25	177	66	2	1
21	178	78	2	1
27	194	80	1	1
34	165	50	2	1
27	170	67	2	1
28	189	82	1	1
29	196	113	1	1
19	174	66	1	1
23	178	79	1	1
28	196	92	1	1
25	160	50	2	1
24	175	65	2	1
37	192	88	1	1
25	178	68	1	1
30	160	58	2	1
25	170	74	1	1
23	172	66	1	1
23	169	65	1	1
25	165	68	2	1
21	190	60	1	1
21	174	73	1	1
21	178	71	2	1
24	170	57	2	1
31	170	60	2	1
24	174	66	1	1
24	188	80	1	1
20	160	64	2	1
26	192	104	1	1
29	177	61	2	1
23	183	80	1	1
35	183	90	1	1
23	184	80	2	1
33	167	50	2	1
29	178	59	2	1
20	160	65	2	1
24	178	67	1	1
21	192	120	1	1
27	179	84	1	1
24	182	74	1	1
25	166	56	2	1
24	191	79	2	1
23	183	79	1	1
27	178	105	1	1
24	160	49	2	1
32	165	78	1	1
21	180	78	1	1
27	155	51	2	1
21	160	74	1	1
22	171	72	1	1
20	168	62	1	1
21	178	66	1	1
21	176	65	1	1
21	179	71	1	1
21	175	65	1	1
21	176	71	1	1
20	166	69	2	1
23	168	68	1	1
24	173	68	1	1
27	170	70	1	1
29	169	68	1	1
21	178	75	1	1
22	181	80	1	1
31	180	104	1	1
41	178	70	1	1
30	187	65	1	1
15	173	65	1	1
23	191	96	1	1
18	175	65	1	1
20	170	55	1	1
19	162	60	2	1
24	171	67	1	1
22	175	83	1	1
23	183	74	1	1
17	155	43	2	1
17	160	50	2	1
21	170	65	1	1
28	195	110	1	1
21	189	84	1	1
26	164	55	2	1
16	182	71	2	1
23	175	73	1	1
22	178	57	1	1
20	170	65	1	1
28	158	42	2	1
20	176	75	1	1
18	175	65	1	1
23	166	55	2	1
23	170	66	1	1
24	205	110	1	1
31	172	67	1	1
24	192	156	1	1
26	172	62	2	1
41	165	64	2	1
29	178	81	2	1
23	176	76	1	1
23	183	76	2	1
27	185	74	1	1
39	172	62	2	1
23	172	68	2	1
28	178	87	1	1
45	180	100	1	1
27	184	75	1	1
31	171	71	1	1
26	171	60	2	1
40	199	135	1	1
22	189	94	1	1
19	185	75	1	1
20	185	96	1	1
21	164	62	2	1
24	186	75	1	1
20	188	89	1	1
26	197	100	1	1
29	200	96	1	1
21	173	66	1	1
25	175	75	1	1
30	171	60	2	1
26	178	65	2	1
20	184	82	1	1
34	185	85	1	1
22	191	96	1	1
20	185	80	1	1
17	170	72	2	1
40	158	53	2	1
37	162	55	2	1
25	174	85	1	1
27	176	72	2	1
23	167	61	1	1
27	190	83	1	1
37	176	68	1	1
15	165	60	1	1
26	200	110	1	1
25	185	72	1	1
36	175	85	1	1
26	175	74	1	1
22	170	60	1	1
27	179	68	2	1
29	165	55	2	1
30	162	57	2	1
22	188	86	2	1
40	169	67	2	1
22	170	65	1	1
20	170	65	2	1
23	180	73	1	1
25	183	73	1	1
27	169	55	1	1
26	183	84	1	1
23	182	63	1	1
23	182	87	1	1
24	185	88	1	1
27	174	74	1	1
